card_log_number,description,location_name,lower_river_mile,upper_river_mile,Sample Year,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,2,82,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,235,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,3,79,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,236,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,4,76,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,237,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,5,75,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,238,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,6,74,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,239,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-04,KW/EJ,A79049,7,81,,Male,Unmarked,,,,4?,0.3,12-Mar,2,Chum,Regular Card,Unknown,Hatchery Rack,240,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,1,84,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,275,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,2,76,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,276,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,3,81,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,277,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,4,77,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,278,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,5,81,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,279,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,6,81,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,280,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,7,74,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,281,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,8,74,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,282,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,9,79,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,283,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,10,73,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,284,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,11,80,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,285,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,12,75,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,286,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,13,76,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,287,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,14,82,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,288,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,15,79,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,289,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,16,78,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,290,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,17,77,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,291,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,18,81,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,292,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,19,82,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,293,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/EJ,A79051,20,79,,Male,Unmarked,,,,4?,0.3,12-Jun,2,Chum,Regular Card,Unknown,Hatchery Rack,294,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,1,73,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,257,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,2,70,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,258,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,3,71,,Female,Unmarked,,,,,,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,259,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,4,73,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,260,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,5,69,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,261,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,6,74,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,262,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,7,69,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,263,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,8,67,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,264,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,9,68,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,265,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,10,61,,Female,Unmarked,,,,3?,0.2,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,266,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,11,67,,Female,Unmarked,,,,5?,0.4,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,267,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,12,62,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,268,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,13,80,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,269,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,14,69,,Female,Unmarked,,,,3?,0.2,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,270,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,15,70,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,271,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,16,76,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,272,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,17,74,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,273,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-10,DS/BC,A79053,18,66,,Female,Unmarked,,,,4?,0.3,12-May,2,Chum,Regular Card,Unknown,Hatchery Rack,274,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,1,70,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,321,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,2,74,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,322,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,3,79,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,323,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,4,80,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,324,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,5,81,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,325,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,6,77,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,326,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,7,66,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,327,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,8,71,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,328,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,9,73,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,329,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,10,76,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,330,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,11,81,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,331,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,12,79,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,332,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,13,72,,Male,Unmarked,,,,,,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,333,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,14,71,,Male,Unmarked,,,,3?,0.2,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,334,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,15,77,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,335,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,16,72,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,336,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,17,81,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,337,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,18,74,,Male,Unmarked,,,,4?,0.3,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,338,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,19,73,,Male,Unmarked,,,,3?,0.2,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,339,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,EJ/DS,A79059,20,78,,Male,Unmarked,,,,5?,0.4,12-Sep,2,Chum,Regular Card,Unknown,Hatchery Rack,340,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,1,78,,Female,Unmarked,,,,4?,0.3,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,315,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,2,70,,Female,Unmarked,,,,3?,0.2,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,316,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,3,64,,Female,Unmarked,,,,4?,0.3,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,317,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,4,76,,Male,Unmarked,,,,4?,0.3,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,318,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,5,74,,Male,Unmarked,,,,4?,0.3,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,319,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,BC/LL,A79060,6,76,,Male,Unmarked,,,,4?,0.3,12-Aug,2,Chum,Regular Card,Unknown,Hatchery Rack,320,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,1,76,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,295,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,2,70,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,296,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,3,65,,Female,Unmarked,,,,3?,0.2,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,297,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,4,63,,Female,Unmarked,,,,3?,0.2,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,298,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,5,66,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,299,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,6,71,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,300,,
20-12-16-57220,WRIA 07.0940,Wallace River,,,2020,2020-11-16,LL/BC,A79061,7,72,,Female,Unmarked,,,,4?,0.3,12-Jul,2,Chum,Regular Card,Unknown,Hatchery Rack,301,,
