card_log_number,location_name,lower_river_mile,upper_river_mile,sample_datetime,samplers,card_number,position_number,fork_length_cm,poh_length,sex_type_description,mark_types,cwt_bag_number,snout_number,origin_type_description,gilbert_rich,european,card_sequence,species_code,species_description,card_type_description,fishery_type_description,gear_description,otolith_number,dna_number,carcass_tag_number
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,12,78,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,52,552,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,13,64,,Male,Unmarked,,,,3?,0.2,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,53,553,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,14,70,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,54,554,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,15,76,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,55,555,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,16,72,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,56,556,
25-1-13-34208,Wallace River,,,2024-11-04,KC/FG,A70182,17,64,,Female,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,57,557,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,1,64,,Female,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,58,558,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,2,69,,Female,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,59,559,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,3,61,,Female,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,60,560,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,4,72,,Male,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,61,561,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,5,71,,Male,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,62,562,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,6,71,,Male,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,63,563,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,7,67,,Male,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,64,564,
25-1-13-34208,May Creek,,,2024-11-05,FG/AH,A0325202507,8,72,,Male,Unmarked,,,,4?,0.3,1-Jan,2,Chum,Regular Card,Non-Treaty,Hatchery Rack,65,565,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,1,70,,Female,Unmarked,,,,Unreadable,Unreadable,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,66,566,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,2,66,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,67,567,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,3,68,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,68,568,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,4,74,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,69,569,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,5,71,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,70,570,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,6,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,71,571,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,7,70,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,72,572,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,8,66,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,73,573,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,9,71,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,74,574,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,10,73,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,75,575,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,11,66,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,76,576,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,12,70,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,77,577,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,13,68,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,78,578,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,14,68,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,79,579,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,15,72,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,80,580,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,16,71,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,81,581,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,17,63,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,82,582,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,18,74,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,83,583,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,19,66,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,84,584,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60951,20,69,,Female,Unmarked,,,,4?,0.3,3-Jan,2,Chum,Regular Card,Non-Treaty,Hook & Line,85,585,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,1,68,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,86,586,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,2,67,,Female,Unmarked,,,,3?,0.2,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,87,587,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,3,68,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,88,588,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,4,62,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,89,589,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,5,72,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,90,590,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,6,78,,Female,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,91,591,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,7,75,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,92,592,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,8,72,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,93,593,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,9,74,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,94,594,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,10,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,95,595,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,11,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,96,596,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,12,73,,Male,Unmarked,,,,Unreadable,Unreadable,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,97,597,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,13,69,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,98,598,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,14,72,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,99,599,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,15,70,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,100,600,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,16,79,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,101,601,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,17,72,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,102,602,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,18,70,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,103,603,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,19,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,104,604,
25-1-13-34208,May Creek,,,2024-11-06,FG/KC,A60952,20,71,,Male,Unmarked,,,,4?,0.3,3-Feb,2,Chum,Regular Card,Non-Treaty,Hook & Line,105,605,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,1,76,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,106,606,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,2,72,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,107,607,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,3,70,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,108,608,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,4,74,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,109,609,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,5,75,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,110,610,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,6,76,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,111,611,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,7,73,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,112,612,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,8,73,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,113,613,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,9,70,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,114,614,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,10,76,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,115,615,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,11,72,,Male,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,116,616,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,12,66,,Male,Unmarked,,,,3?,0.2,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,117,617,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,13,72,,Male,Unmarked,,,,Unreadable,Unreadable,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,118,618,
25-1-13-34208,Wallace River,,,2024-11-06,FG/KC,A60953,14,63,,Female,Unmarked,,,,4?,0.3,3-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,119,619,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,1,66,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,250,740,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,2,66,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,251,741,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,3,71,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,252,742,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,4,69,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,253,743,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,5,69,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,254,744,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,6,68,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,255,745,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,7,66,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,256,746,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,8,66,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,257,747,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,9,62,,Female,Unmarked,,,,3?,0.2,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,258,748,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,10,72,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,259,749,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,11,70,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,260,750,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,12,69,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,261,751,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,13,68,,Female,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,262,752,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202501,14,67,,Male,Unmarked,,,,4?,0.3,9-Apr,2,Chum,Regular Card,Non-Treaty,Hook & Line,263,753,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,1,68,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,230,720,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,2,72,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,231,721,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,3,74,,Female,Unmarked,,,,Unreadable,Unreadable,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,232,722,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,4,67,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,233,723,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,5,70,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,234,724,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,6,67,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,235,725,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,7,64,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,236,726,
25-1-13-34208,Wallace River,,,2024-11-12,WG,A0325202502,8,71,,Female,Unmarked,,,,4?,0.3,9-Mar,2,Chum,Regular Card,Non-Treaty,Hook & Line,237,727,
